iteration,current energy,average energy,temperature,lowest energy,accept good rate,accept bad rate,reject rate,time period
45,37.8306,512.558,40.2878,2.98827,0,0.02,0.98,0
46,42.1666,478.813,39.482,2.98827,0.01,0.02,0.97,0
47,11.5312,480.723,38.6924,2.42052,0.02,0.06,0.92,0
48,9.21431,490.608,37.9185,1.55467,0.02,0.01,0.97,0
49,62.3075,491.001,37.1602,1.55467,0.01,0.01,0.98,0
50,50.8175,486.927,36.417,1.55467,0,0.02,0.98,0
51,18.3037,474.083,35.6886,1.55467,0.02,0.03,0.95,0
52,23.0417,530.039,34.9749,1.55467,0.02,0,0.98,0
53,3.07208,469.266,34.2754,1.55467,0.01,0.02,0.97,0
54,43.9539,470.578,33.5899,1.55467,0.02,0.01,0.97,0
55,5.37662,492.375,32.9181,1.55467,0.01,0.05,0.94,0
56,86.3628,474.233,32.2597,1.55467,0.02,0.01,0.97,0
57,196.691,541.504,31.6145,1.55467,0.01,0.04,0.95,0
58,65.9971,503.067,30.9822,1.55467,0.01,0.02,0.97,0
59,40.0687,515.486,30.3626,1.55467,0.02,0.01,0.97,0
60,69.9157,482.284,29.7553,1.55467,0.02,0.02,0.96,0
61,8.94892,474.942,29.1602,1.55467,0.02,0.04,0.94,0
62,6.8746,479.784,28.577,1.55467,0.04,0.01,0.95,0
63,23.026,470.623,28.0055,1.55467,0.01,0,0.99,0
64,50.3711,495.933,27.4454,1.55467,0.02,0.02,0.96,0
65,50.3711,503.584,26.8964,1.55467,0.02,0.04,0.94,0
66,97.1403,546.402,26.3585,1.55467,0,0,1,0
67,6.73915,532.661,25.8313,1.55467,0.01,0.03,0.96,0
68,0.861461,470.335,25.3147,0.861461,0.04,0.01,0.95,0
69,26.3966,483.888,24.8084,0.861461,0.01,0,0.99,0
70,36.6719,483.678,24.3123,0.861461,0,0.01,0.99,0
71,57.4353,459.456,23.826,0.861461,0,0.01,0.99,0
72,10.5935,517.276,23.3495,0.861461,0.03,0.02,0.95,0
73,27.7994,493.835,22.8825,0.861461,0.01,0.01,0.98,0
74,12.0549,480.253,22.4249,0.861461,0,0.01,0.99,0
75,38.7828,492.921,21.9764,0.861461,0.02,0.01,0.97,0
76,9.34278,476.674,21.5368,0.861461,0,0.01,0.99,0
77,37.7322,505.389,21.1061,0.861461,0.01,0,0.99,0
78,24.0612,474.397,20.684,0.861461,0.02,0.01,0.97,0
79,11.8867,481.337,20.2703,0.861461,0.02,0.02,0.96,0
80,15.7074,488.348,19.8649,0.861461,0.03,0.03,0.94,0
81,4.64494,456.542,19.4676,0.861461,0.01,0.02,0.97,0
82,45.0686,489.987,19.0782,0.861461,0.01,0.01,0.98,0
83,43.4367,506.596,18.6967,0.861461,0.03,0.03,0.94,0
84,18.7314,491.494,18.3227,0.861461,0.02,0.01,0.97,0
85,7.62257,487.178,17.9563,0.76202,0.01,0,0.99,0
86,14.912,503.145,17.5972,0.76202,0.01,0.02,0.97,0
87,26.0324,516.349,17.2452,0.76202,0,0.01,0.99,0
88,0.0963978,456.705,16.9003,0.0963978,0,0.01,0.99,0
89,0.152699,503.077,16.5623,0.0963978,0.03,0,0.97,0
90,11.7593,468.21,16.2311,0.0963978,0.01,0.01,0.98,0
91,1.54471,488.159,15.9064,0.0630316,0.01,0.02,0.97,0
92,16.5986,476.506,15.5883,0.0630316,0.02,0.01,0.97,0
93,13.6025,485.345,15.2765,0.0630316,0,0.01,0.99,0
94,58.4057,485.249,14.971,0.0630316,0.04,0.02,0.94,0
95,33.2625,517.303,14.6716,0.0630316,0,0.02,0.98,0
96,21.4889,494.8,14.3782,0.0630316,0.01,0,0.99,0
97,0.608151,509.595,14.0906,0.0630316,0.02,0.01,0.97,0
98,0.291938,468.309,13.8088,0.0630316,0.02,0,0.98,0
99,7.66712,472.592,13.5326,0.0630316,0.01,0,0.99,0
100,11.8569,491.257,13.262,0.0630316,0.01,0.01,0.98,0
101,47.0016,504.165,12.9967,0.0630316,0.03,0.02,0.95,0
102,47.0016,521.606,12.7368,0.0630316,0.01,0.03,0.96,0
103,2.12849,516.466,12.482,0.0630316,0,0,1,0
104,19.4501,486.349,12.2324,0.0630316,0.02,0,0.98,0
105,20.3416,501.016,11.9878,0.0630316,0.01,0.02,0.97,0
106,20.3416,461.721,11.748,0.0630316,0,0.01,0.99,0
107,2.81583,485.395,11.513,0.0630316,0,0,1,0
108,5.17273,490.136,11.2828,0.0630316,0.01,0,0.99,0
109,0.925272,483.946,11.0571,0.0630316,0.01,0.02,0.97,0
110,0.925272,472.885,10.836,0.0630316,0.01,0,0.99,0
111,1.59409,461.316,10.6193,0.0630316,0,0,1,0
112,4.03727,486.957,10.4069,0.0630316,0.01,0.01,0.98,0
113,4.03727,484.831,10.1987,0.0630316,0,0.01,0.99,0
114,8.97185,499.553,9.99477,0.0630316,0,0,1,0
115,3.34013,482.122,9.79487,0.0630316,0.01,0.01,0.98,0
116,5.29638,498.738,9.59897,0.0630316,0.02,0,0.98,0
117,5.29638,503.538,9.40699,0.0630316,0,0.01,0.99,0
118,39.6967,460.642,9.21885,0.0630316,0,0,1,0
119,16.2889,526.069,9.03448,0.0630316,0,0.03,0.97,0
120,16.2889,505.586,8.85379,0.0630316,0.01,0.02,0.97,0
121,9.33508,493.143,8.67671,0.0630316,0,0,1,0
122,9.33508,511.185,8.50318,0.0630316,0.01,0,0.99,0
123,1.98017,420.97,8.33311,0.0630316,0,0,1,0
124,1.98017,504.849,8.16645,0.0630316,0.02,0,0.98,0
125,2.43217,511.066,8.00312,0.0630316,0,0,1,0
126,1.22803,449.66,7.84306,0.0630316,0,0.01,0.99,0
127,1.9,450.4,7.6862,0.0630316,0.03,0.01,0.96,0
128,0.190167,470.493,7.53247,0.0630316,0,0.01,0.99,0
129,6.49714,498.19,7.38183,0.0630316,0.01,0,0.99,0
130,6.49714,503.069,7.23419,0.0630316,0,0.02,0.98,0
131,10.9033,487.754,7.08951,0.0630316,0,0,1,0
132,1.00305,476.909,6.94771,0.0630316,0,0.01,0.99,0
133,1.04157,463.41,6.80876,0.0630316,0.02,0.01,0.97,0
134,1.04157,495.242,6.67259,0.0630316,0.01,0.01,0.98,0
135,0.923417,442.33,6.53913,0.0630316,0,0,1,0
136,3.49925,462.843,6.40835,0.0630316,0.01,0.01,0.98,0
137,3.53625,492.806,6.28018,0.0630316,0,0.03,0.97,0
138,3.23614,486.102,6.15458,0.0630316,0,0.01,0.99,0
139,2.82506,484.728,6.03149,0.0630316,0.01,0,0.99,0
140,1.47415,491.136,5.91086,0.0630316,0.01,0,0.99,0
141,5.07711,450.979,5.79264,0.0630316,0.01,0,0.99,0
142,1.01192,478.065,5.67679,0.0630316,0,0.01,0.99,0
143,0.902636,472.217,5.56325,0.0630316,0.01,0.01,0.98,0
144,1.69388,473.757,5.45199,0.0630316,0.01,0,0.99,0
145,4.78532,485.662,5.34295,0.0630316,0.01,0.01,0.98,0
146,0.362186,494.178,5.23609,0.0630316,0,0.01,0.99,0
147,0.263296,461.199,5.13137,0.0630316,0.03,0,0.97,0
148,6.70456,479.016,5.02874,0.0630316,0.02,0.01,0.97,0
149,6.70456,501.472,4.92817,0.0630316,0.01,0.01,0.98,0
150,2.17584,473.122,4.8296,0.0630316,0,0,1,0
151,1.38738,474.733,4.73301,0.0630316,0.02,0.01,0.97,0
152,2.53385,464.804,4.63835,0.0630316,0.01,0.01,0.98,0
153,2.53385,489.209,4.54558,0.0630316,0.01,0.02,0.97,0
154,6.02915,474.123,4.45467,0.0630316,0,0,1,0
155,4.20174,479.241,4.36558,0.0630316,0.01,0.01,0.98,0
156,4.20174,459.584,4.27827,0.0630316,0.02,0,0.98,0
157,2.14202,421.004,4.1927,0.0630316,0,0,1,0
158,5.82426,453.279,4.10885,0.0630316,0.02,0.01,0.97,0
159,5.82426,467.954,4.02667,0.0630316,0.01,0.01,0.98,0
160,2.12455,452.726,3.94614,0.0630316,0,0,1,0
161,2.12455,477.548,3.86721,0.0630316,0.01,0,0.99,0
162,2.1754,473.975,3.78987,0.0630316,0,0,1,0
163,0.0140857,448.875,3.71407,0.0140857,0.01,0.02,0.97,0
164,0.0140857,465.631,3.63979,0.0140857,0.01,0.02,0.97,0
165,0.772835,494.35,3.56699,0.0140857,0,0,1,0
166,0.869951,468.512,3.49566,0.0140857,0,0.01,0.99,0
167,3.55503,424.247,3.42574,0.0140857,0,0.01,0.99,0
168,5.55224,494.913,3.35723,0.0140857,0.02,0.02,0.96,0
169,3.0948,508.03,3.29008,0.0140857,0,0.02,0.98,0
170,6.62468,482.575,3.22428,0.0140857,0.01,0,0.99,0
171,6.06879,468.293,3.1598,0.0140857,0.02,0.02,0.96,0
172,4.22071,464.553,3.0966,0.0140857,0.02,0.01,0.97,0
173,5.03193,458.319,3.03467,0.0140857,0.01,0,0.99,0
174,2.35535,486.054,2.97397,0.0140857,0,0.01,0.99,0
175,2.35535,451.99,2.91449,0.0140857,0.02,0,0.98,0
176,0.757237,513.75,2.8562,0.0140857,0,0,1,0
177,0.856568,475.127,2.79908,0.0140857,0.01,0,0.99,0
178,0.856568,476.302,2.7431,0.0140857,0,0.01,0.99,0
179,4.87706,473.087,2.68824,0.0140857,0,0,1,0
180,4.22056,525.598,2.63447,0.0140857,0,0.01,0.99,0
181,1.87375,503.281,2.58178,0.0140857,0.01,0,0.99,0
182,1.87375,510.462,2.53015,0.0140857,0.02,0,0.98,0
183,0.286636,437.953,2.47954,0.0140857,0,0,1,0
184,0.204545,491.864,2.42995,0.0140857,0.01,0,0.99,0
185,0.204545,474.786,2.38135,0.0140857,0.01,0.01,0.98,0
186,0.304712,485.414,2.33373,0.0140857,0,0,1,0
187,0.304712,451.131,2.28705,0.0140857,0.01,0.01,0.98,0
188,0.304712,499.748,2.24131,0.0140857,0,0,1,0
189,0.304712,484.879,2.19649,0.0140857,0,0,1,0
190,0.304712,506.402,2.15256,0.0140857,0,0,1,0
191,0.327054,441.537,2.1095,0.0140857,0,0,1,0
192,0.809016,478.863,2.06731,0.0140857,0,0.01,0.99,0
193,1.31094,474.729,2.02597,0.0140857,0,0.01,0.99,0
194,0.382265,455.444,1.98545,0.0140857,0,0.01,0.99,0
195,1.96724,475.249,1.94574,0.0140857,0.02,0.02,0.96,0
196,0.0238577,494.87,1.90682,0.0140857,0.02,0.01,0.97,0
197,4.51403,493.243,1.86869,0.0140857,0.01,0,0.99,0
198,4.51403,513.412,1.83131,0.0140857,0,0.02,0.98,0
199,4.51403,468.993,1.79469,0.0140857,0,0,1,0
200,4.51403,493.54,1.75879,0.0140857,0,0,1,0
201,0.574654,445.539,1.72362,0.0140857,0,0,1,0
202,0.574654,453.324,1.68915,0.0140857,0.01,0,0.99,0
203,0.495379,475.238,1.65536,0.0140857,0,0,1,0
204,1.75438,489.82,1.62226,0.0140857,0.01,0,0.99,0
205,0.0899873,409.884,1.58981,0.0140857,0,0.01,0.99,0
206,0.0899873,480.575,1.55801,0.0140857,0.04,0.02,0.94,0
207,0.0899873,442.845,1.52685,0.0140857,0,0,1,0
208,0.569083,485.479,1.49632,0.0140857,0,0,1,0
209,0.168195,446.916,1.46639,0.0140857,0,0.01,0.99,0
210,4.41957,447.82,1.43706,0.0140857,0.01,0,0.99,0
211,4.41957,478.736,1.40832,0.0140857,0,0.01,0.99,0
212,0.374815,473.494,1.38016,0.0140857,0,0,1,0
213,0.356292,462.33,1.35255,0.0140857,0.02,0.01,0.97,0
214,0.356292,465.617,1.3255,0.0140857,0.02,0,0.98,0
215,0.356292,446.705,1.29899,0.0140857,0,0,1,0
216,1.16907,494.074,1.27301,0.0140857,0,0,1,0
217,1.16907,490.477,1.24755,0.0140857,0,0.01,0.99,0
218,0.607191,447.92,1.2226,0.0140857,0,0,1,0
219,0.716477,479.763,1.19815,0.0140857,0.01,0,0.99,0
220,2.28854,471.995,1.17419,0.0140857,0.02,0.01,0.97,0
221,2.02925,456.999,1.1507,0.0140857,0,0.01,0.99,0
222,1.27528,463,1.12769,0.0140857,0.01,0,0.99,0
223,1.97206,492.626,1.10513,0.0140857,0.01,0,0.99,0
224,1.19233,480.132,1.08303,0.0140857,0,0.01,0.99,0
225,0.646418,459.295,1.06137,0.0140857,0.01,0,0.99,0
226,0.646418,468.357,1.04014,0.0140857,0.01,0,0.99,0
227,0.646418,457.556,1.01934,0.0140857,0,0,1,0
